thread_id,Gstart,Gend,worker_start_time,worker_request_time,worker_receive_time,worker_end_time,push_time,compute_time,pull_time,total_gpu_time,preprocessing_time,postprocessing_time,total_time
1,0,306,1745484462362.22,1745484462379.05,1745484463265.78,1745484463265.96,0.67,884.61,0.08,885.36,16.83,0.18,903.74
5,0,306,1745484462362.32,1745484462379.77,1745484463421.92,1745484463422.10,0.17,16.79,0.06,17.02,17.45,0.18,1059.78
8,0,306,1745484462362.33,1745484462379.43,1745484463370.53,1745484463370.90,0.61,17.46,0.08,18.15,17.10,0.38,1008.57
4,0,306,1745484462362.35,1745484462379.77,1745484463404.89,1745484463405.21,0.17,16.69,0.06,16.92,17.41,0.31,1042.85
2,0,306,1745484462362.36,1745484462379.15,1745484463299.36,1745484463299.70,0.17,26.63,6.61,33.42,16.79,0.35,937.35
11,0,306,1745484462362.37,1745484462379.31,1745484463352.36,1745484463352.97,0.17,17.51,0.27,17.95,16.94,0.61,990.60
3,0,306,1745484462362.39,1745484462379.29,1745484463334.40,1745484463334.73,0.32,16.98,0.07,17.38,16.91,0.33,972.35
6,0,306,1745484462362.39,1745484462382.13,1745484463455.82,1745484463456.13,0.17,16.72,0.06,16.94,19.74,0.31,1093.74
9,0,306,1745484462362.40,1745484462381.66,1745484463438.87,1745484463439.05,0.17,16.69,0.08,16.94,19.26,0.18,1076.65
7,0,306,1745484462362.42,1745484462379.75,1745484463387.96,1745484463388.15,0.17,17.20,0.06,17.44,17.32,0.18,1025.72
10,0,306,1745484462362.43,1745484462379.20,1745484463317.01,1745484463317.18,0.50,17.06,0.07,17.63,16.77,0.17,954.74
1,0,306,1745484463266.29,1745484463277.57,1745484463472.75,1745484463472.94,0.17,16.84,0.06,17.08,11.28,0.19,206.65
2,0,306,1745484463300.01,1745484463311.32,1745484463489.69,1745484463490.04,0.20,16.48,0.09,16.78,11.31,0.35,190.03
10,0,306,1745484463317.51,1745484463328.68,1745484463507.35,1745484463507.50,0.31,17.25,0.08,17.64,11.18,0.15,189.99
3,0,306,1745484463335.06,1745484463346.44,1745484463524.39,1745484463524.72,0.17,16.78,0.09,17.04,11.38,0.34,189.67
11,0,306,1745484463353.27,1745484463364.39,1745484463541.87,1745484463542.03,0.17,17.21,0.09,17.47,11.12,0.15,188.75
8,0,306,1745484463371.22,1745484463382.37,1745484463558.89,1745484463559.35,0.17,16.77,0.06,17.00,11.15,0.46,188.13
7,0,306,1745484463388.48,1745484463399.60,1745484463576.47,1745484463576.85,0.17,17.32,0.08,17.57,11.12,0.38,188.37
4,0,306,1745484463405.52,1745484463416.64,1745484463593.90,1745484463594.27,0.17,17.20,0.05,17.42,11.12,0.37,188.75
5,0,306,1745484463422.41,1745484463433.60,1745484463611.38,1745484463611.77,0.17,17.24,0.06,17.47,11.19,0.39,189.35
9,0,306,1745484463439.37,1745484463450.48,1745484463628.91,1745484463629.29,0.17,17.30,0.06,17.53,11.10,0.38,189.92
6,0,306,1745484463456.44,1745484463467.59,1745484463646.46,1745484463646.92,0.18,17.28,0.08,17.54,11.15,0.46,190.48
1,0,306,1745484463473.25,1745484463484.75,1745484463663.95,1745484463664.14,0.17,17.41,0.07,17.65,11.50,0.18,190.89
2,0,306,1745484463490.32,1745484463501.49,1745484463681.11,1745484463681.69,0.18,16.54,0.27,16.99,11.16,0.58,191.36
10,0,306,1745484463507.80,1745484463518.90,1745484463699.05,1745484463699.21,0.58,17.26,0.09,17.93,11.10,0.16,191.41
3,0,306,1745484463525.04,1745484463536.20,1745484463716.10,1745484463716.44,0.17,16.80,0.07,17.04,11.16,0.34,191.40
11,0,306,1745484463542.32,1745484463553.43,1745484463733.61,1745484463733.75,0.17,17.24,0.09,17.50,11.11,0.14,191.43
8,0,306,1745484463559.63,1745484463570.75,1745484463750.64,1745484463751.09,0.18,16.78,0.06,17.01,11.11,0.45,191.46
7,0,306,1745484463577.17,1745484463588.30,1745484463768.19,1745484463768.57,0.17,17.30,0.07,17.53,11.13,0.38,191.40
4,0,306,1745484463594.57,1745484463605.70,1745484463785.70,1745484463786.16,0.17,17.27,0.07,17.51,11.12,0.46,191.59
5,0,306,1745484463612.06,1745484463623.10,1745484463803.26,1745484463803.64,0.17,17.32,0.06,17.55,11.04,0.38,191.58
9,0,306,1745484463629.59,1745484463640.73,1745484463820.74,1745484463821.12,0.17,17.24,0.06,17.47,11.14,0.38,191.54
6,0,306,1745484463647.21,1745484463658.32,1745484463838.31,1745484463838.77,0.17,17.32,0.07,17.55,11.11,0.46,191.55
1,0,306,1745484463664.46,1745484463676.03,1745484463855.61,1745484463855.78,0.17,17.20,0.08,17.45,11.57,0.18,191.32
2,0,306,1745484463681.98,1745484463693.19,1745484463872.74,1745484463873.08,0.17,16.53,0.27,16.97,11.21,0.34,191.10
10,0,306,1745484463699.52,1745484463710.58,1745484463890.62,1745484463891.00,0.30,17.29,0.27,17.87,11.06,0.38,191.49
3,0,306,1745484463716.73,1745484463727.89,1745484463908.23,1745484463908.58,0.31,17.24,0.06,17.61,11.16,0.34,191.84
11,0,306,1745484463734.06,1745484463745.19,1745484463925.75,1745484463926.24,0.17,17.25,0.09,17.51,11.13,0.49,192.18
8,0,306,1745484463751.38,1745484463762.51,1745484463943.28,1745484463943.67,0.50,16.96,0.06,17.52,11.12,0.38,192.28
7,0,306,1745484463768.87,1745484463779.95,1745484463960.73,1745484463961.10,0.17,17.19,0.08,17.43,11.08,0.38,192.23
4,0,306,1745484463786.48,1745484463797.59,1745484463978.17,1745484463978.55,0.17,17.21,0.06,17.44,11.11,0.38,192.07
5,0,306,1745484463803.93,1745484463815.02,1745484463995.63,1745484463996.09,0.17,17.22,0.06,17.46,11.09,0.45,192.15
9,0,306,1745484463821.43,1745484463832.51,1745484464013.32,1745484464013.69,0.17,17.43,0.08,17.68,11.08,0.37,192.27
6,0,306,1745484463839.08,1745484463850.14,1745484464031.10,1745484464031.70,0.17,17.33,0.28,17.78,11.06,0.60,192.62
1,0,306,1745484463856.10,1745484463867.49,1745484464048.57,1745484464048.75,0.60,16.95,0.06,17.61,11.38,0.18,192.65
2,0,306,1745484463873.37,1745484463884.53,1745484464065.32,1745484464065.66,0.17,16.38,0.04,16.60,11.16,0.33,192.29
10,0,306,1745484463891.31,1745484463902.52,1745484464082.79,1745484464083.72,0.16,17.24,0.06,17.46,11.21,0.93,192.41
3,0,306,1745484463908.86,1745484463920.02,1745484464100.32,1745484464100.38,0.29,17.19,0.05,17.53,11.16,0.06,191.51
11,0,306,1745484463926.54,1745484463937.68,1745484464117.16,1745484464117.48,0.16,16.61,0.07,16.84,11.14,0.33,190.94
8,0,306,1745484463943.97,1745484463955.02,1745484464134.40,1745484464134.57,0.30,16.88,0.06,17.24,11.05,0.17,190.60
7,0,306,1745484463961.41,1745484463972.49,1745484464151.30,1745484464151.65,0.28,16.53,0.06,16.88,11.08,0.35,190.24
4,0,306,1745484463978.86,1745484463989.96,1745484464168.72,1745484464169.02,0.28,17.08,0.06,17.42,11.10,0.30,190.16
5,0,306,1745484463996.38,1745484464007.43,1745484464185.83,1745484464186.14,0.29,16.76,0.06,17.11,11.05,0.32,189.76
9,0,306,1745484464013.99,1745484464025.12,1745484464203.27,1745484464203.58,0.14,17.24,0.06,17.44,11.13,0.31,189.59
6,0,306,1745484464032.00,1745484464043.08,1745484464220.74,1745484464220.79,0.13,17.26,0.06,17.45,11.08,0.05,188.79
1,0,306,1745484464221.11,1745484464235.69,1745484464400.51,1745484464400.69,0.17,16.72,0.07,16.96,14.58,0.18,179.58
6,0,306,1745484464221.12,1745484464235.72,1745484464434.53,1745484464434.73,0.18,16.76,0.07,17.01,14.60,0.19,213.61
10,0,306,1745484464221.23,1745484464234.44,1745484464279.65,1745484464280.00,0.58,21.34,0.10,22.02,13.21,0.36,58.78
7,0,306,1745484464221.24,1745484464235.02,1745484464314.27,1745484464314.46,0.17,17.29,0.07,17.53,13.79,0.19,93.22
2,0,306,1745484464221.26,1745484464235.68,1745484464348.79,1745484464349.37,0.17,17.02,0.29,17.48,14.42,0.58,128.11
11,0,306,1745484464221.26,1745484464234.23,1745484464257.46,1745484464258.04,0.65,21.99,0.44,23.09,12.97,0.59,36.78
5,0,306,1745484464221.27,1745484464235.75,1745484464366.67,1745484464366.84,0.58,17.20,0.09,17.87,14.48,0.17,145.57
3,0,306,1745484464221.29,1745484464235.04,1745484464331.29,1745484464331.74,0.17,16.64,0.06,16.86,13.75,0.45,110.45
9,0,306,1745484464221.30,1745484464235.79,1745484464417.51,1745484464417.66,0.17,16.59,0.08,16.84,14.50,0.14,196.36
4,0,306,1745484464221.30,1745484464234.73,1745484464296.89,1745484464297.34,0.50,16.67,0.06,17.23,13.42,0.46,76.04
8,0,306,1745484464221.33,1745484464235.82,1745484464383.69,1745484464383.87,0.31,16.64,0.07,17.01,14.49,0.18,162.54
11,0,306,1745484464258.36,1745484464269.39,1745484464451.47,1745484464451.65,0.17,16.67,0.08,16.92,11.03,0.18,193.29
10,0,306,1745484464280.34,1745484464291.40,1745484464468.38,1745484464468.56,0.17,16.67,0.06,16.90,11.06,0.18,188.22
4,0,306,1745484464297.65,1745484464308.72,1745484464485.32,1745484464485.51,0.17,16.71,0.06,16.94,11.06,0.19,187.86
7,0,306,1745484464314.77,1745484464325.87,1745484464502.19,1745484464502.39,0.17,16.63,0.06,16.86,11.10,0.19,187.62
3,0,306,1745484464332.05,1745484464343.21,1745484464519.11,1745484464519.46,0.17,16.67,0.08,16.92,11.17,0.35,187.41
2,0,306,1745484464349.65,1745484464360.83,1745484464536.49,1745484464536.85,0.17,17.12,0.08,17.37,11.17,0.35,187.19
5,0,306,1745484464367.17,1745484464378.23,1745484464553.95,1745484464554.08,0.18,17.19,0.08,17.44,11.06,0.13,186.91
8,0,306,1745484464384.18,1745484464395.32,1745484464570.94,1745484464571.32,0.18,16.73,0.07,16.98,11.14,0.38,187.14
1,0,306,1745484464401.09,1745484464412.61,1745484464588.34,1745484464588.52,0.17,17.32,0.06,17.55,11.52,0.18,187.43
9,0,306,1745484464417.96,1745484464429.12,1745484464605.39,1745484464605.52,0.17,16.63,0.09,16.89,11.16,0.13,187.56
6,0,306,1745484464435.04,1745484464446.11,1745484464622.41,1745484464622.87,0.18,16.77,0.06,17.01,11.07,0.46,187.82
11,0,306,1745484464451.99,1745484464463.06,1745484464639.77,1745484464640.14,0.17,17.09,0.08,17.34,11.07,0.37,188.15
10,0,306,1745484464468.90,1745484464479.99,1745484464657.31,1745484464657.69,0.17,17.28,0.08,17.53,11.09,0.38,188.79
4,0,306,1745484464485.84,1745484464496.93,1745484464674.79,1745484464674.97,0.17,17.25,0.06,17.47,11.10,0.19,189.14
7,0,306,1745484464502.72,1745484464513.79,1745484464691.69,1745484464691.87,0.17,16.67,0.06,16.89,11.07,0.18,189.15
3,0,306,1745484464519.76,1745484464530.94,1745484464708.63,1745484464709.02,0.17,16.72,0.06,16.94,11.19,0.39,189.27
2,0,306,1745484464537.17,1745484464548.30,1745484464725.96,1745484464726.56,0.17,16.87,0.29,17.33,11.13,0.59,189.39
5,0,306,1745484464554.39,1745484464565.47,1745484464743.82,1745484464743.97,0.59,17.17,0.08,17.84,11.08,0.15,189.58
8,0,306,1745484464571.60,1745484464582.77,1745484464760.75,1745484464761.12,0.18,16.68,0.06,16.92,11.17,0.37,189.52
1,0,306,1745484464588.85,1745484464600.27,1745484464778.13,1745484464778.36,0.17,17.26,0.09,17.52,11.42,0.23,189.51
9,0,306,1745484464605.84,1745484464616.96,1745484464795.26,1745484464795.76,0.16,16.71,0.08,16.96,11.12,0.50,189.92
6,0,306,1745484464623.18,1745484464634.24,1745484464813.08,1745484464813.46,0.50,17.25,0.06,17.81,11.06,0.38,190.28
11,0,306,1745484464640.46,1745484464651.63,1745484464830.54,1745484464830.93,0.18,17.19,0.08,17.45,11.17,0.39,190.47
10,0,306,1745484464658.01,1745484464669.02,1745484464847.98,1745484464848.36,0.17,17.20,0.06,17.43,11.01,0.38,190.35
4,0,306,1745484464675.31,1745484464686.44,1745484464865.47,1745484464865.86,0.17,17.26,0.06,17.48,11.13,0.39,190.55
7,0,306,1745484464692.21,1745484464703.22,1745484464882.94,1745484464883.12,0.17,17.22,0.07,17.46,11.01,0.18,190.92
3,0,306,1745484464709.34,1745484464720.52,1745484464899.84,1745484464900.19,0.17,16.67,0.06,16.90,11.19,0.34,190.85
2,0,306,1745484464726.86,1745484464738.06,1745484464917.23,1745484464917.30,0.17,17.13,0.08,17.38,11.19,0.07,190.44
5,0,306,1745484464744.30,1745484464755.34,1745484464934.09,1745484464934.22,0.17,16.59,0.08,16.84,11.04,0.13,189.92
8,0,306,1745484464761.42,1745484464772.48,1745484464951.04,1745484464951.50,0.17,16.71,0.06,16.94,11.06,0.46,190.07
1,0,306,1745484464778.69,1745484464790.12,1745484464968.52,1745484464968.71,0.17,17.40,0.06,17.63,11.43,0.18,190.02
9,0,306,1745484464796.07,1745484464807.18,1745484464985.59,1745484464985.74,0.18,16.64,0.08,16.90,11.11,0.15,189.68
6,0,306,1745484464813.77,1745484464824.82,1745484465002.64,1745484465003.02,0.18,16.80,0.07,17.04,11.05,0.38,189.25
11,0,306,1745484464831.25,1745484464842.40,1745484465020.13,1745484465020.50,0.17,17.26,0.06,17.49,11.15,0.37,189.25
10,0,306,1745484464848.68,1745484464859.81,1745484465037.67,1745484465038.05,0.17,17.28,0.07,17.52,11.14,0.38,189.37
4,0,306,1745484464866.18,1745484464877.23,1745484465055.12,1745484465055.58,0.17,17.20,0.06,17.44,11.06,0.46,189.40
7,0,306,1745484464883.43,1745484464894.51,1745484465072.71,1745484465073.20,0.17,17.35,0.06,17.58,11.08,0.49,189.77
3,0,306,1745484464900.48,1745484464911.62,1745484465090.32,1745484465090.66,0.17,17.39,0.06,17.62,11.13,0.34,190.18
2,0,306,1745484464917.62,1745484464928.74,1745484465107.76,1745484465108.26,0.17,17.17,0.09,17.43,11.12,0.50,190.64
5,0,306,1745484464934.54,1745484464945.60,1745484465125.52,1745484465125.93,0.49,17.17,0.09,17.75,11.06,0.40,191.39
8,0,306,1745484464951.79,1745484464962.93,1745484465142.99,1745484465143.37,0.17,17.22,0.06,17.46,11.14,0.38,191.58
1,0,306,1745484464969.05,1745484464980.60,1745484465160.33,1745484465160.52,0.17,17.26,0.06,17.49,11.54,0.18,191.46
9,0,306,1745484464986.06,1745484464997.19,1745484465177.40,1745484465177.75,0.18,16.64,0.09,16.91,11.12,0.35,191.69
